parcel_number,address,owner,scrape_date,tax_year,amount_due,amount_paid,total_due
5408465600000,2764 LEBANON RD,SHREE PUNIT LLC,2025-06-05,2024,88403.95,0.0,88403.95
5408465600000,2764 LEBANON RD,SHREE PUNIT LLC,2025-06-05,2023,92834.3,0.0,92834.3
5408465600000,2764 LEBANON RD,SHREE PUNIT LLC,2025-06-05,2022,97834.77,0.0,97834.77
